fname,label
01fd22ba.wav,Bass_drum Snare_drum Cowbell
01fe4a01.wav,Tearing Bus Burping_or_eructation
02107093.wav,Electric_piano Bass_drum Gong
02182ebd.wav,Hi-hat Burping_or_eructation Snare_drum
02198549.wav,Scissors Keys_jangling Computer_keyboard
0220d48a.wav,Bass_drum Knock Double_bass
02210ee7.wav,Flute Microwave_oven Knock
022170df.wav,Clarinet Gong Glockenspiel
023431b2.wav,Trumpet Hi-hat Harmonica
023e7db3.wav,Flute Writing Knock
023eab1f.wav,Double_bass Scissors Squeak
02482fdc.wav,Acoustic_guitar Electric_piano Gong
024e45b1.wav,Cello Double_bass Acoustic_guitar
026820e6.wav,Burping_or_eructation Writing Cough
02697329.wav,Bass_drum Microwave_oven Gong
027a8b14.wav,Hi-hat Finger_snapping Shatter
027dbe3e.wav,Bass_drum Electric_piano Double_bass
027f06cc.wav,Squeak Laughter Cowbell
028278f0.wav,Trumpet Oboe Clarinet
028db587.wav,Double_bass Knock Gong
02960f07.wav,Scissors Keys_jangling Hi-hat
0298b2c6.wav,Flute Clarinet Saxophone
02a0eb3c.wav,Fireworks Microwave_oven Bus
02ad476f.wav,Squeak Shatter Applause
02af55f6.wav,Acoustic_guitar Electric_piano Gong
02c3af87.wav,Trumpet Flute Oboe
02c46d0b.wav,Acoustic_guitar Cello Electric_piano
02c6f112.wav,Cello Double_bass Violin_or_fiddle
02cb4d01.wav,Double_bass Knock Bass_drum
02d5dc55.wav,Bass_drum Knock Snare_drum
02d9b93c.wav,Saxophone Flute Laughter
02df943b.wav,Bass_drum Knock Double_bass
02e99b5e.wav,Cello Acoustic_guitar Saxophone
02f8d82c.wav,Trumpet Hi-hat Flute
02fb6c5b.wav,Knock Squeak Laughter
0300b76b.wav,Laughter Squeak Bark
0303e3a5.wav,Snare_drum Acoustic_guitar Bass_drum
03079bb2.wav,Scissors Applause Writing
030bacc6.wav,Drawer_open_or_close Fireworks Cough
030db750.wav,Telephone Chime Violin_or_fiddle
0310089a.wav,Flute Clarinet Microwave_oven
0316ff65.wav,Bass_drum Snare_drum Knock
03199dbe.wav,Cello Double_bass Knock
031b6d8f.wav,Flute Clarinet Saxophone
03319789.wav,Violin_or_fiddle Oboe Cowbell
033a0cbe.wav,Bass_drum Double_bass Cowbell
0345130c.wav,Trumpet Applause Fireworks
034b1b41.wav,Flute Clarinet Violin_or_fiddle
034c1c69.wav,Flute Fireworks Trumpet
035e420f.wav,Hi-hat Cowbell Finger_snapping
036c1697.wav,Acoustic_guitar Computer_keyboard Electric_piano
036f228c.wav,Clarinet Squeak Cello
03786473.wav,Saxophone Clarinet Fireworks
037e7b6f.wav,Flute Clarinet Oboe
0381efd3.wav,Double_bass Cello Bark
038397e9.wav,Bass_drum Keys_jangling Tambourine
03858091.wav,Bass_drum Knock Snare_drum
03888259.wav,Acoustic_guitar Gong Cello
0394e0d4.wav,Hi-hat Gong Flute
03953467.wav,Flute Writing Cello
039d36e9.wav,Cello Violin_or_fiddle Double_bass
03ab8828.wav,Gunshot_or_gunfire Fireworks Knock
03af84e5.wav,Clarinet Violin_or_fiddle Gong
03b7faf1.wav,Telephone Squeak Microwave_oven
03c1c5f4.wav,Flute Clarinet Oboe
03c5bfbb.wav,Gunshot_or_gunfire Knock Squeak
03d2bdca.wav,Clarinet Laughter Squeak
03d5a89c.wav,Clarinet Cough Saxophone
03e1e393.wav,Gong Fireworks Acoustic_guitar
03e2ecd9.wav,Acoustic_guitar Cello Electric_piano
03e860b2.wav,Trumpet Applause Flute
03f2e21f.wav,Cello Violin_or_fiddle Bus
03f39877.wav,Hi-hat Snare_drum Tearing
03fafd5b.wav,Double_bass Acoustic_guitar Electric_piano
03fccc98.wav,Bass_drum Knock Snare_drum
0402129f.wav,Drawer_open_or_close Snare_drum Squeak
040258a9.wav,Cello Double_bass Violin_or_fiddle
041521b0.wav,Bass_drum Knock Snare_drum
04154da3.wav,Bass_drum Double_bass Knock
0419676b.wav,Clarinet Gong Acoustic_guitar
041983cd.wav,Acoustic_guitar Gong Chime
04199401.wav,Fart Tearing Writing
041c68ec.wav,Cello Violin_or_fiddle Squeak
041c7581.wav,Cello Double_bass Violin_or_fiddle
041eed83.wav,Drawer_open_or_close Microwave_oven Squeak
0422b811.wav,Burping_or_eructation Fart Bass_drum
0448c553.wav,Bass_drum Double_bass Knock
0448d513.wav,Cello Double_bass Gong
044aef8a.wav,Squeak Tearing Meow
045931e0.wav,Squeak Bark Telephone
0459ee65.wav,Clarinet Cello Oboe
045c6122.wav,Bass_drum Applause Snare_drum
045c9ea8.wav,Clarinet Oboe Flute
04605af5.wav,Shatter Hi-hat Tambourine
046250d3.wav,Cello Double_bass Acoustic_guitar
046486df.wav,Computer_keyboard Squeak Applause
0468ad68.wav,Flute Clarinet Oboe
046e86b5.wav,Hi-hat Gong Trumpet
047b5857.wav,Cello Double_bass Violin_or_fiddle
047bf19c.wav,Flute Clarinet Shatter
047e0d21.wav,Trumpet Tearing Hi-hat
048470a5.wav,Squeak Tearing Fart
04a301e9.wav,Trumpet Hi-hat Fart
04ab46a9.wav,Cello Double_bass Acoustic_guitar
04ab4e22.wav,Tambourine Keys_jangling Hi-hat
04b031df.wav,Hi-hat Tearing Trumpet
04b249bd.wav,Drawer_open_or_close Squeak Tearing
04b7ef77.wav,Flute Clarinet Oboe
04bdae57.wav,Hi-hat Gong Electric_piano
04c2ed9c.wav,Clarinet Saxophone Oboe
04d15abd.wav,Trumpet Snare_drum Glockenspiel
04dbef05.wav,Cello Double_bass Acoustic_guitar
04dddbf5.wav,Bass_drum Finger_snapping Fart
04ecda67.wav,Bass_drum Hi-hat Cello
04ed8568.wav,Bass_drum Double_bass Knock
04f232c6.wav,Bass_drum Gunshot_or_gunfire Double_bass
04f46a27.wav,Bass_drum Double_bass Burping_or_eructation
04f85a49.wav,Acoustic_guitar Cello Electric_piano
04fb8280.wav,Acoustic_guitar Electric_piano Gong
0509ce2f.wav,Hi-hat Gong Acoustic_guitar
0520faf4.wav,Clarinet Fireworks Applause
05296d2a.wav,Clarinet Laughter Oboe
0529d428.wav,Bass_drum Snare_drum Knock
0539bb41.wav,Fart Bark Cello
053a5fc6.wav,Hi-hat Gong Trumpet
053b4c56.wav,Fart Tearing Squeak
053e7bb5.wav,Snare_drum Knock Hi-hat
054508f3.wav,Bass_drum Double_bass Hi-hat
0548124b.wav,Saxophone Cello Bass_drum
054dbf39.wav,Flute Clarinet Gong
054eeab6.wav,Bark Writing Laughter
05562991.wav,Flute Clarinet Shatter
0558af35.wav,Meow Squeak Tearing
0568741b.wav,Acoustic_guitar Electric_piano Gong
05723b3a.wav,Cello Double_bass Saxophone
057425e6.wav,Fart Snare_drum Tearing
0576d7ba.wav,Fart Writing Squeak
057c2963.wav,Clarinet Oboe Cello
0586f0e0.wav,Meow Cello Double_bass
058a0e87.wav,Bass_drum Knock Telephone
058e63ea.wav,Tambourine Hi-hat Tearing
0594d8c2.wav,Hi-hat Gong Chime
059d5420.wav,Saxophone Electric_piano Clarinet
059ffef4.wav,Trumpet Clarinet Violin_or_fiddle
05a15a14.wav,Flute Clarinet Cello
05ad10fb.wav,Trumpet Gong Cello
05ae0583.wav,Trumpet Tearing Meow
05c2056b.wav,Flute Clarinet Gong
05c8453f.wav,Fireworks Gunshot_or_gunfire Gong
05cae96f.wav,Bass_drum Snare_drum Hi-hat
05cc88d2.wav,Hi-hat Snare_drum Applause
05ccb0ff.wav,Acoustic_guitar Cello Squeak
05f3c709.wav,Laughter Applause Cough
05f40290.wav,Cello Double_bass Violin_or_fiddle
05fc58ee.wav,Gunshot_or_gunfire Bass_drum Knock
05fca090.wav,Flute Fireworks Writing
060428bd.wav,Acoustic_guitar Electric_piano Double_bass
0608d8b7.wav,Squeak Fireworks Microwave_oven
06123abf.wav,Gong Acoustic_guitar Chime
062c3119.wav,Clarinet Acoustic_guitar Cello
062f9f91.wav,Squeak Drawer_open_or_close Fireworks
06308a6b.wav,Cello Applause Clarinet
0630cf5e.wav,Acoustic_guitar Electric_piano Double_bass
0638da1a.wav,Snare_drum Cowbell Gong
063d81f8.wav,Clarinet Microwave_oven Trumpet
06718b47.wav,Trumpet Applause Flute
0671a98a.wav,Trumpet Oboe Saxophone
06775f3c.wav,Laughter Meow Tearing
0678a571.wav,Trumpet Oboe Laughter
067d6a04.wav,Flute Clarinet Trumpet
06827666.wav,Acoustic_guitar Electric_piano Chime
0682b1f6.wav,Telephone Harmonica Gong
0689d2f6.wav,Bass_drum Double_bass Snare_drum
069b1efa.wav,Flute Writing Cello
069b4384.wav,Bass_drum Knock Tearing
069e4fb3.wav,Squeak Fireworks Bus
06b27161.wav,Squeak Flute Gong
06bb374e.wav,Fart Acoustic_guitar Snare_drum
06bd2694.wav,Bass_drum Gunshot_or_gunfire Knock
06c33b21.wav,Laughter Burping_or_eructation Fart
06c535eb.wav,Telephone Microwave_oven Gong
06d4796b.wav,Flute Tambourine Oboe
06dcd7a0.wav,Squeak Drawer_open_or_close Shatter
06e1d866.wav,Squeak Fart Telephone
06e4a7a3.wav,Acoustic_guitar Violin_or_fiddle Cello
06e4c394.wav,Violin_or_fiddle Gong Cello
06ee2e39.wav,Trumpet Saxophone Applause
06faccbf.wav,Acoustic_guitar Scissors Fart
06fbe4da.wav,Bass_drum Electric_piano Gong
070096e9.wav,Clarinet Saxophone Cello
070204c5.wav,Trumpet Fart Squeak
07038d45.wav,Squeak Finger_snapping Tearing
07063bc9.wav,Keys_jangling Computer_keyboard Writing
070fea08.wav,Clarinet Flute Trumpet
0716b51d.wav,Double_bass Knock Cello
071b2b62.wav,Acoustic_guitar Tambourine Gong
071e7724.wav,Bass_drum Knock Double_bass
071f4c75.wav,Flute Clarinet Oboe
0722054b.wav,Clarinet Flute Violin_or_fiddle
07256457.wav,Trumpet Saxophone Oboe
0730b080.wav,Snare_drum Hi-hat Bass_drum
0736d78e.wav,Fart Cough Burping_or_eructation
073d6755.wav,Cello Knock Gong
0745def5.wav,Acoustic_guitar Gong Glockenspiel
0751e141.wav,Hi-hat Snare_drum Gong
0755629f.wav,Knock Bass_drum Drawer_open_or_close
075591e8.wav,Bass_drum Knock Double_bass
0760a9e7.wav,Squeak Scissors Tearing
076176f4.wav,Cowbell Glockenspiel Bark
0761d26b.wav,Applause Fireworks Laughter
07642d1b.wav,Cello Computer_keyboard Flute
07682400.wav,Oboe Fireworks Electric_piano
076d3b6c.wav,Trumpet Hi-hat Fireworks
0776b083.wav,Hi-hat Gong Double_bass
07776603.wav,Trumpet Fireworks Hi-hat
0779cb34.wav,Chime Telephone Bus
077a7711.wav,Knock Gong Hi-hat
0790d4f8.wav,Writing Hi-hat Tearing
079367a7.wav,Flute Clarinet Saxophone
07954767.wav,Bass_drum Finger_snapping Snare_drum
07989042.wav,Trumpet Flute Oboe
0799369e.wav,Clarinet Saxophone Oboe
079faac8.wav,Harmonica Oboe Clarinet
07a8ddbf.wav,Shatter Tambourine Keys_jangling
07ab0dcf.wav,Cello Double_bass Violin_or_fiddle
07b0fe34.wav,Writing Tearing Computer_keyboard
07b9c04c.wav,Bass_drum Microwave_oven Gong
07bac4d1.wav,Hi-hat Cough Tambourine
07c4fd98.wav,Acoustic_guitar Electric_piano Gong
07c8463e.wav,Cough Tearing Laughter
07c95625.wav,Meow Fart Tearing
07cf422e.wav,Acoustic_guitar Cello Squeak
07cffb09.wav,Fireworks Squeak Bus
07d5cca9.wav,Clarinet Oboe Saxophone
07d62787.wav,Trumpet Applause Flute
07dcd326.wav,Gunshot_or_gunfire Applause Bass_drum
07eef0c0.wav,Cello Double_bass Saxophone
07f06f30.wav,Bass_drum Double_bass Knock
07f1dab7.wav,Hi-hat Tambourine Fireworks
07fbde49.wav,Trumpet Oboe Applause
0802d9ec.wav,Trumpet Flute Oboe
080b53cc.wav,Acoustic_guitar Double_bass Electric_piano
081fbfd3.wav,Fart Scissors Hi-hat
082cd9fe.wav,Acoustic_guitar Applause Tambourine
083bba3c.wav,Clarinet Flute Saxophone
0841041b.wav,Acoustic_guitar Gong Electric_piano
08426322.wav,Fart Writing Knock
0844d331.wav,Oboe Gong Burping_or_eructation
08593822.wav,Saxophone Trumpet Clarinet
085a9c5b.wav,Cello Double_bass Acoustic_guitar
087248e6.wav,Clarinet Cello Flute
087ed746.wav,Flute Trumpet Clarinet
08854d8c.wav,Bass_drum Double_bass Finger_snapping
088bb565.wav,Cello Gong Double_bass
08904a43.wav,Violin_or_fiddle Gong Acoustic_guitar
08911c36.wav,Fart Burping_or_eructation Bass_drum
08941c53.wav,Writing Computer_keyboard Knock
0894d11f.wav,Hi-hat Gong Snare_drum
089f1097.wav,Trumpet Double_bass Violin_or_fiddle
089f44b1.wav,Drawer_open_or_close Tearing Writing
08a82608.wav,Clarinet Violin_or_fiddle Squeak
08be795d.wav,Tambourine Bark Laughter
08c9a7f7.wav,Bass_drum Tearing Snare_drum
08d23bb8.wav,Gong Acoustic_guitar Fireworks
08d9501a.wav,Squeak Snare_drum Drawer_open_or_close
08ddd56e.wav,Bass_drum Cough Fart
08e27974.wav,Gunshot_or_gunfire Keys_jangling Shatter
08ecc0a1.wav,Hi-hat Bass_drum Applause
08f4b16b.wav,Fart Tearing Double_bass
08fcf830.wav,Flute Fireworks Saxophone
0921f1f2.wav,Acoustic_guitar Electric_piano Gong
092a73e5.wav,Bass_drum Snare_drum Double_bass
092d89a0.wav,Cello Double_bass Knock
093963d5.wav,Cello Violin_or_fiddle Double_bass
0943fc2d.wav,Bass_drum Tearing Finger_snapping
09481a4c.wav,Bass_drum Hi-hat Double_bass
095428e8.wav,Cello Violin_or_fiddle Saxophone
09553ca1.wav,Bass_drum Knock Gunshot_or_gunfire
095dd27c.wav,Squeak Writing Fart
0967cebd.wav,Saxophone Oboe Clarinet
0969d9d1.wav,Cello Acoustic_guitar Clarinet
096c3969.wav,Trumpet Hi-hat Gong
096fd039.wav,Fart Snare_drum Double_bass
0976741c.wav,Acoustic_guitar Double_bass Gong
097cdef5.wav,Violin_or_fiddle Gong Applause
0984ea36.wav,Acoustic_guitar Double_bass Cello
0995f876.wav,Saxophone Cello Applause
09983766.wav,Squeak Hi-hat Fart
09a14a8e.wav,Bass_drum Applause Tearing
09b3e21c.wav,Clarinet Double_bass Squeak
09c7044c.wav,Bass_drum Trumpet Double_bass
09c71587.wav,Cello Applause Laughter
09c8f697.wav,Bass_drum Double_bass Snare_drum
09c9b50b.wav,Saxophone Snare_drum Cello
09cba9de.wav,Cello Double_bass Clarinet
09d0535a.wav,Fart Acoustic_guitar Snare_drum
09d2d1c0.wav,Saxophone Cello Applause
09e5a0ee.wav,Electric_piano Acoustic_guitar Gong
09e83f2a.wav,Saxophone Clarinet Trumpet
09eb9ddb.wav,Cello Trumpet Clarinet
09ec3afd.wav,Snare_drum Knock Bass_drum
09f02a4a.wav,Fireworks Shatter Gunshot_or_gunfire
09f55e64.wav,Clarinet Flute Saxophone
0a001dfe.wav,Cough Fart Laughter
0a00b1a8.wav,Flute Fireworks Tearing
0a0b26cc.wav,Bass_drum Double_bass Hi-hat
0a23fde2.wav,Meow Squeak Fart
0a3d6e55.wav,Microwave_oven Drawer_open_or_close Knock
0a429107.wav,Hi-hat Trumpet Squeak
0a5cbf90.wav,Chime Glockenspiel Gong
0a5f818e.wav,Meow Fireworks Bark
0a6219e5.wav,Cello Saxophone Trumpet
0a67826b.wav,Bass_drum Knock Double_bass
0a695221.wav,Cowbell Bark Cough
0a6ecade.wav,Bass_drum Knock Double_bass
0a71e42d.wav,Bass_drum Finger_snapping Scissors
0a79ddf7.wav,Acoustic_guitar Gong Chime
0a7c7060.wav,Shatter Glockenspiel Microwave_oven
0a7fbd54.wav,Hi-hat Snare_drum Gong
0a7ff75b.wav,Bass_drum Fart Gunshot_or_gunfire
0a848902.wav,Flute Clarinet Oboe
0a8b7299.wav,Knock Bass_drum Fireworks
0a8d849e.wav,Bass_drum Knock Snare_drum
0a979caf.wav,Clarinet Flute Gong
0aaa4d2f.wav,Bass_drum Electric_piano Double_bass
0aab4d0f.wav,Trumpet Hi-hat Clarinet
0ab56675.wav,Acoustic_guitar Laughter Fart
0ab99db4.wav,Saxophone Harmonica Fart
0acc6947.wav,Cowbell Gong Cello
0ace560e.wav,Clarinet Gong Squeak
0ace703f.wav,Acoustic_guitar Electric_piano Double_bass
0ad916a0.wav,Double_bass Cello Knock
0adf81d5.wav,Bark Hi-hat Snare_drum
0ae1945c.wav,Acoustic_guitar Cello Electric_piano
0af843ea.wav,Gunshot_or_gunfire Bass_drum Snare_drum
0b0132c8.wav,Hi-hat Trumpet Knock
0b0427e2.wav,Laughter Hi-Hat Flute
0b07dc21.wav,Clarinet Saxophone Flute
0b0df9a0.wav,Squeak Fart Bus
0b157a67.wav,Bass_drum Cowbell Telephone
0b232eb1.wav,Bass_drum Knock Gunshot_or_gunfire
0b244358.wav,Trumpet Applause Fireworks
0b273087.wav,Clarinet Saxophone Trumpet
0b278db1.wav,Applause Computer_keyboard Bark
0b2f18fa.wav,Squeak Telephone Meow
0b321436.wav,Bass_drum Gunshot_or_gunfire Knock
0b32ee85.wav,Double_bass Cello Trumpet
0b38f744.wav,Hi-hat Gong Snare_drum
0b3c86c9.wav,Drawer_open_or_close Tearing Writing
0b430780.wav,Gunshot_or_gunfire Fireworks Shatter
0b495758.wav,Fart Telephone Harmonica
0b4bb93c.wav,Tambourine Keys_jangling Tearing
0b50d4c8.wav,Acoustic_guitar Applause Tambourine
0b58b074.wav,Hi-hat Gong Cowbell
0b58c7e9.wav,Clarinet Hi-hat Violin_or_fiddle
0b5fb43f.wav,Squeak Snare_drum Applause
0b62b09f.wav,Clarinet Cello Acoustic_guitar
0b752229.wav,Squeak Telephone Knock
0b763e4f.wav,Trumpet Fart Applause
0b79fdea.wav,Tambourine Keys_jangling Hi-hat
0b7b694c.wav,Double_bass Electric_piano Bass_drum
0b8844bd.wav,Acoustic_guitar Violin_or_fiddle Gong
0b8b79ad.wav,Fireworks Acoustic_guitar Electric_piano
0b8dfa34.wav,Clarinet Saxophone Acoustic_guitar
0b9415cd.wav,Clarinet Harmonica Saxophone
0ba34dec.wav,Clarinet Flute Trumpet
0baa37ed.wav,Hi-hat Gong Shatter
0bb6a21d.wav,Cello Double_bass Cough
0bb807c0.wav,Clarinet Oboe Harmonica
0bc52ede.wav,Acoustic_guitar Gong Cello
0bc8ad78.wav,Hi-hat Shatter Keys_jangling
0bc938fb.wav,Cello Double_bass Acoustic_guitar
0bd5adf9.wav,Squeak Flute Clarinet
0bdc064a.wav,Flute Clarinet Violin_or_fiddle
0be5aa79.wav,Bass_drum Gunshot_or_gunfire Fart
0be7620d.wav,Bass_drum Double_bass Knock
0beb8325.wav,Violin_or_fiddle Cello Oboe
0bec9842.wav,Clarinet Cello Harmonica
0befc5cb.wav,Laughter Acoustic_guitar Cough
0bf9fbd3.wav,Bass_drum Knock Trumpet
0c13feb9.wav,Acoustic_guitar Clarinet Laughter
0c1bb3e9.wav,Flute Bark Clarinet
0c1fbece.wav,Trumpet Applause Fart
0c27bc2d.wav,Acoustic_guitar Squeak Electric_piano
0c31ca4c.wav,Flute Saxophone Writing
0c3b5861.wav,Clarinet Applause Squeak
0c3dfac0.wav,Clarinet Gong Cello
0c40bbb0.wav,Bass_drum Cowbell Double_bass
0c4de54a.wav,Clarinet Squeak Tearing
0c561099.wav,Trumpet Fireworks Applause
0c58f71a.wav,Clarinet Squeak Flute
0c654cc0.wav,Trumpet Applause Fireworks
0c6ccd3a.wav,Trumpet Flute Writing
0c7311f7.wav,Flute Violin_or_fiddle Trumpet
0c736a0f.wav,Trumpet Clarinet Flute
0c7a124d.wav,Clarinet Fireworks Trumpet
0c7a8b1b.wav,Flute Clarinet Saxophone
0c7c51fa.wav,Double_bass Knock Flute
0c8071a4.wav,Knock Bass_drum Telephone
0c80cb97.wav,Trumpet Fireworks Fart
0c80f6dc.wav,Bass_drum Acoustic_guitar Cowbell
0c91a6b2.wav,Meow Computer_keyboard Microwave_oven
0c9250b8.wav,Bass_drum Tearing Hi-hat
0ca5bba6.wav,Hi-hat Applause Fireworks
0cb0d029.wav,Burping_or_eructation Snare_drum Fart
0cb48b8e.wav,Flute Clarinet Laughter
0cb5b4a8.wav,Bass_drum Telephone Gong
0cbe7e42.wav,Flute Glockenspiel Electric_piano
0cc0af58.wav,Cello Double_bass Saxophone
0cd0ec27.wav,Bass_drum Snare_drum Tearing
0cd0f2ef.wav,Acoustic_guitar Scissors Electric_piano
0ce09e4a.wav,Flute Gong Clarinet
0ce127f9.wav,Meow Applause Fireworks
0ceaab13.wav,Bass_drum Knock Snare_drum
0ceb2140.wav,Cough Bark Laughter
0cec29e8.wav,Flute Clarinet Saxophone
0cefa487.wav,Acoustic_guitar Cello Applause
0cf2bcda.wav,Acoustic_guitar Hi-hat Double_bass
0cf319fa.wav,Flute Clarinet Violin_or_fiddle
0cf34718.wav,Clarinet Gong Oboe
0cf34f6e.wav,Squeak Gunshot_or_gunfire Drawer_open_or_close
0d056139.wav,Burping_or_eructation Hi-hat Gong
0d1bf5b4.wav,Cello Fart Tearing
0d20e8f7.wav,Bass_drum Knock Snare_drum
0d23dd3a.wav,Clarinet Gong Flute
0d242640.wav,Clarinet Double_bass Acoustic_guitar
0d2d13b7.wav,Hi-hat Gong Cello
0d34cc5a.wav,Gunshot_or_gunfire Snare_drum Fireworks
0d415918.wav,Shatter Gunshot_or_gunfire Knock
0d449433.wav,Bass_drum Snare_drum Gong
0d4ca47e.wav,Harmonica Cello Hi-hat
0d5bb142.wav,Trumpet Applause Oboe
0d6e2584.wav,Cough Squeak Writing
0d7549a4.wav,Clarinet Oboe Saxophone
0d7f7f76.wav,Acoustic_guitar Gong Cello
0d89b6a4.wav,Clarinet Cello Gong
0d8d0cbd.wav,Tearing Writing Keys_jangling
0d90d498.wav,Acoustic_guitar Bass_drum Cello
0d950fc6.wav,Bass_drum Hi-hat Tearing
0d976b22.wav,Bass_drum Knock Double_bass
0d98574f.wav,Cello Violin_or_fiddle Double_bass
0d99cfde.wav,Trumpet Hi-hat Clarinet
0d9de265.wav,Clarinet Applause Trumpet
0da2acf4.wav,Fart Applause Tearing
0da592f2.wav,Clarinet Saxophone Oboe
0daa7a68.wav,Bass_drum Double_bass Cowbell
0db0fb36.wav,Drawer_open_or_close Shatter Knock
0db21ee8.wav,Clarinet Gong Glockenspiel
0db35f79.wav,Bass_drum Shatter Knock
0db65bf4.wav,Clarinet Saxophone Violin_or_fiddle
0db6ac5f.wav,Trumpet Hi-hat Finger_snapping
0dbb37b3.wav,Chime Flute Tambourine
0dc193fe.wav,Tearing Shatter Drawer_open_or_close
0dc7fd72.wav,Bass_drum Double_bass Electric_piano
0dd0e034.wav,Cello Violin_or_fiddle Double_bass
0dd68380.wav,Acoustic_guitar Cowbell Gong
0de4b9f0.wav,Acoustic_guitar Double_bass Cello
0def8cc7.wav,Acoustic_guitar Electric_piano Double_bass
0df38dfd.wav,Cello Double_bass Acoustic_guitar
0e06ba41.wav,Acoustic_guitar Squeak Tambourine
0e12c15c.wav,Bass_drum Knock Electric_piano
0e1bd033.wav,Applause Squeak Laughter
0e23a6f4.wav,Keys_jangling Tambourine Writing
0e26ccc9.wav,Squeak Fart Drawer_open_or_close
0e2d428f.wav,Clarinet Flute Cello
0e2ff60a.wav,Clarinet Flute Oboe
0e373704.wav,Flute Clarinet Cowbell
0e398b30.wav,Clarinet Oboe Saxophone
0e3b99ce.wav,Fart Tearing Cough
0e3cdc5d.wav,Cello Double_bass Acoustic_guitar
0e3d8062.wav,Acoustic_guitar Fart Snare_drum
0e45be94.wav,Cello Acoustic_guitar Double_bass
0e468de3.wav,Bass_drum Double_bass Knock
0e507ea4.wav,Flute Clarinet Violin_or_fiddle
0e5184a9.wav,Acoustic_guitar Electric_piano Double_bass
0e551b02.wav,Acoustic_guitar Electric_piano Violin_or_fiddle
0e596194.wav,Clarinet Gong Squeak
0e596a0b.wav,Bass_drum Flute Cowbell
0e5a2f7e.wav,Bass_drum Finger_snapping Tearing
0e5e9be8.wav,Gong Bass_drum Snare_drum
0e666b44.wav,Clarinet Double_bass Cello
0e6a2b2e.wav,Meow Squeak Fart
0e70bdaa.wav,Flute Trumpet Clarinet
0e722a03.wav,Bass_drum Knock Cough
0e7aea38.wav,Gong Bark Violin_or_fiddle
0e7d6e2d.wav,Cello Double_bass Saxophone
0e7e36b2.wav,Bass_drum Knock Double_bass
0e889160.wav,Bass_drum Double_bass Cowbell
0e8ccc81.wav,Cello Violin_or_fiddle Squeak
0e95fbb5.wav,Cello Violin_or_fiddle Gong
0e9c6c50.wav,Acoustic_guitar Tambourine Squeak
0ea36a9f.wav,Flute Clarinet Microwave_oven
0ea9839a.wav,Bass_drum Double_bass Cowbell
0eb8b04e.wav,Bass_drum Snare_drum Fart
0ec5f052.wav,Trumpet Oboe Fart
0ed387f3.wav,Tearing Fireworks Writing
0edbfc63.wav,Flute Cello Double_bass
0eead3a5.wav,Bass_drum Fireworks Finger_snapping
0ef36ea1.wav,Harmonica Flute Violin_or_fiddle
